punkt,text
PSR_45.,"Территориально обособленные помещения, площадки и участки строительного производства должны быть обеспечены телефонной связью или радиосвязью."
PSR_46.,"Допуск на производственную территорию посторонних лиц, а также работников в нетрезвом состоянии, в состоянии наркотического или токсического опьянения или не занятых на работах на данной территории запрещается."
PSR_47.,"На рабочих местах безопасность оборудования и производственных процессов должна обеспечиваться в соответствии с требованиями эксплуатационно-технической документации, а условия труда должны соответствовать государственным нормативным требованиям охраны труда."
PSR_48.,"При организации рабочих мест безопасность работников должна обеспечиваться:
1) защитой работников от опасности, создаваемой движущимися частями технологического оборудования, изделиями, заготовками и материалами, отлетающими частицами обрабатываемого материала и брызгами смазочно-охлаждающих жидкостей;
2) соблюдением требований безопасной эксплуатации подъемных сооружений, кранов-манипуляторов, кранов-трубоукладчиков, подъемников с рабочими платформами, строительных подъемников, лифтов, паровых и водогрейных котлов, сосудов, работающих под давлением, трубопроводов пара и горячей воды, установок газового оборудования;
3) рациональным размещением технологического оборудования в производственных помещениях и вне их и обеспечением безопасного расстояния между оборудованием и стенами, колоннами, безопасной ширины проходов и проездов."
PSR_49.,"Места временного или постоянного нахождения работников, не участвующих непосредственно в проведении строительного производства, должны располагаться за пределами опасных зон."
PSR_50.,"При организации рабочих мест, связанных с использованием строительных машин и иного технологического оборудования, в целях устранения вредного воздействия шума должны применяться:
1) технические средства (уменьшение шума машин в источнике его образования, применение технологических процессов, при которых уровень звукового давления на рабочих местах не превышает допустимый);
2) строительно-акустические мероприятия;
3) дистанционное управление шумными машинами, средства индивидуальной защиты;
4) организационные мероприятия (выбор рационального режима труда и отдыха, сокращение времени нахождения в шумных условиях, лечебно-профилактические и другие мероприятия).
Рабочие зоны с превышенным допустимым уровнем шума должны быть обозначены знаками безопасности. Работа в этих зонах без использования средств индивидуальной защиты запрещается."
PSR_51.,"Для снижения вредного воздействия общей вибрации на работников при организации рабочих мест следует предусмотреть возможность реализации защитных мер, включая (в порядке приоритетности): замену оборудования, применение конструктивных мер снижения уровней вибрации, уменьшение времени контакта с вибрирующими поверхностями, применение средств коллективной защиты, а для защиты от локальной вибрации - применение средств индивидуальной защиты."
PSR_52.,"При осуществлении производственных процессов в условиях повышенной запыленности, соответствующей вредным (опасным) условиям труда, работодатель обязан принять меры к снижению концентрации пыли до допустимых уровней или обеспечить работников средствами индивидуальной защиты органов дыхания."
PSR_53.,"Места проведения строительного производства с использованием пылевидных материалов, а также рабочие места у машин для дробления, размола и просеивания этих материалов должны быть обеспечены аспирационными или вентиляционными системами (проветриванием).
Управление затворами, питателями и механизмами на установках для переработки извести, цемента, гипса и других пылевых материалов следует осуществлять с выносных пультов."
PSR_54.,"Проемы в стенах при одностороннем примыкании к ним настила (перекрытия) должны ограждаться, если расстояние от уровня настила до нижнего проема менее 0,7 м."
PSR_55.,"Проходы на рабочих местах и к рабочим местам должны отвечать следующим требованиям:
1) ширина одиночных проходов к рабочим местам и на рабочих местах должна быть не менее 0,8 м;
2) высота проходов в свету должна быть не менее 2 м."
PSR_56.,"При расположении рабочих мест на перекрытиях воздействие нагрузок на перекрытие от размещенных строительных материалов, оборудования, оснастки и людей не должно превышать расчетные нагрузки на перекрытие, предусмотренные организационно-технологической документацией на производство работ."
PSR_57.,"Опасные зоны, находящиеся внизу под местом выполнения работ на высоте, необходимо определять, обозначать и ограждать в соответствии с правилами по охране труда при работе на высоте, утверждаемыми Минтрудом России в соответствии с подпунктом 5.2.28 Положения о Министерстве труда и социальной защиты Российской Федерации."
PSR_58.,Перекрытие лифтовых шахт должно производиться на каждом этаже.
PSR_59.,"Для прохода работников, выполняющих работы на крыше с уклоном более 20°, а также на крыше с покрытием, не рассчитанным на нагрузки от веса работников, необходимо устраивать трапы шириной не менее 0,3 м с поперечными планками для упора ног. Трапы на время работы должны быть закреплены."
PSR_60.,"При использовании в строительном производстве на территории строительного объекта мобильных строительных машин должна обеспечиваться обзорность рабочей и опасной зон с рабочего места машиниста. В случаях, когда машинист, управляющий мобильной строительной машиной, не имеет достаточного обзора, ему должен быть выделен сигнальщик.
Со значением сигналов, подаваемых в процессе работы и передвижения мобильной строительной машины, должны быть ознакомлены работники, связанные с ее работой. Опасные зоны, которые возникают или могут возникнуть во время работы мобильной строительной машины, должны быть обозначены знаками безопасности и (или) предупредительными надписями."
PSR_61.,"Расположение станков, механизмов, верстаков, столов, козел, стеллажей и другого оборудования, используемых при транспортировании строительных материалов и конструкций, не должно создавать петель, встречных, перекрещивающихся и возвратных движений. При расположении технологического оборудования необходимо учитывать вес и габариты обрабатываемых материалов, характер работы и тип оборудования, обеспечивая прямоточность движения и безопасность работ."
PSR_62.,"Размещение на производственной территории строительных объектов стационарного технологического оборудования должно осуществляться в соответствии с проектно-технической документацией.
При этом ширина проходов в цехах не должна быть менее:
1) для магистральных проходов - 1,5 м;
2) для проходов между оборудованием - 1,2 м;
3) для проходов между стенами производственных зданий и оборудованием - 1,0 м;
4) для проходов к оборудованию, предназначенных для его обслуживания и ремонта - 0,8 м.
Ширина проходов у рабочих мест должна быть увеличена не менее чем на 0,75 м при одностороннем расположении рабочих мест от проходов и проездов и не менее чем на 1,5 м при расположении рабочих мест по обе стороны проходов и проездов."
PSR_63.,Установка стационарного технологического оборудования на фундаментах или на межэтажных перекрытиях осуществляется в соответствии с проектной документацией с учетом веса оборудования и действия динамических нагрузок оборудования на перекрытие.
PSR_64.,"Технологическое оборудование, объединенное в единый технологический комплекс с числом работающих более одного, должно снабжаться системами сигнализации, предупреждающими рабочих о пуске. Дистанционный пуск должен производиться после подачи предупредительного звукового или светового сигнала и получения ответного сигнала с мест обслуживания оборудования о возможности пуска.
Сигнальные элементы (звонки, сирены, лампы) должны быть защищены от механических повреждений и расположены так, чтобы обеспечивались надежная слышимость и видимость сигнала в зоне обслуживающего персонала.
На рабочих местах должны быть вывешены таблицы сигналов и инструкции о порядке пуска и остановки технологического оборудования."
PSR_65.,"Размещение в производственных зданиях, галереях и на эстакадах конвейеров должно производиться в соответствии с требованиями охраны труда."
PSR_66.,"При наличии в конструкции бункеров-накопителей люков и иных отверстий, в которые возможно несанкционированное или случайное попадание (падение) человека, должны быть приняты меры, исключающие возможность наступления такой ситуации."
PSR_67.,"Шаровые мельницы и другое дробильное оборудование должно быть оборудовано системами звуковой и световой сигнализации, обеспечивающей двухстороннюю сигнальную связь площадок для обслуживания приемных и транспортирующих устройств с пультом управления дробилок."
PSR_68.,"Работники, обслуживающие дробильные машины, должны быть обеспечены специальными приспособлениями (крючками, клещами и другими) для извлечения из камеры дробилки кусков материалов или случайно попавших недробимых предметов и защитными очками."
PSR_69.,"При эксплуатации строительных подъемников на площадках, с которых производится загрузка или разгрузка кабины (платформы) строительного подъемника, должны быть вывешены правила пользования строительным подъемником, определяющие способ загрузки, способ сигнализации, порядок обслуживания дверей дежурными работниками, запрещение выхода людей на платформу строительного подъемника и указания по его обслуживанию. У мест загрузки или разгрузки кабины или платформы строительного подъемника должны быть сделаны надписи, указывающие вес предельного груза, допускаемого к подъему или спуску."
PSR_70.,"Над местом загрузки строительного подъемника с открытой платформой на высоте от 2,5 м до 5 м должен быть установлен защитный двойной настил из досок толщиной не менее 40 мм."
PSR_71.,"Для обслуживания технологического оборудования, на котором устанавливаются технологическая оснастка и детали массой более 15 кг, должны применяться соответствующие подъемные сооружения или устройства, при помощи которых должны производиться установка и снятие обрабатываемых деталей, технологической оснастки."
PSR_72.,"Опасные зоны видов технологического оборудования, установок и устройств должны быть ограждены, экранированы или иметь устройства, исключающие контакт работников с опасными и вредными производственными факторами."
PSR_73.,"Обрабатываемые движущиеся строительные материалы, выступающие за габариты оборудования, должны быть ограждены и иметь надежные устойчивые поддерживающие приспособления."
PSR_74.,"Подвижные защитные устройства (экраны), установленные на оборудовании для ограждения опасных зон, должны быть сблокированы с пуском оборудования. Переносные ограждения должны быть устойчивы.
Для закрывания и открывания ограждений должны быть предусмотрены ручки, скобы и другие устройства."
PSR_75.,Ограждения и защитные устройства должны окрашиваться в цвета безопасности.
PSR_76.,Для обслуживания оборудования на высоте 1 м и более от уровня пола должны устраиваться специальные площадки с перилами и лестницами с поручнями.
PSR_77.,"Устройства для пуска, отключения и остановки технологического оборудования должны быть расположены так, чтобы ими можно было пользоваться непосредственно с рабочего места и чтобы была исключена возможность самопроизвольного включения оборудования и механизмов, травмирования работников."
PSR_78.,"Органы управления эксплуатируемого технологического оборудования (рычаги, рукоятки, маховики, штурвалы, кнопки и другие) должны быть сосредоточены в удобных для работника местах и иметь надписи или символы, указывающие их назначение."
PSR_79.,"Рабочие места с применением технологического оборудования, пуск которого осуществляется извне, должны иметь сигнализацию, предупреждающую о пуске, а в необходимых случаях - связь с оператором."
PSR_80.,"Для общего внутреннего и наружного освещения должно применяться напряжение не выше 220 В переменного или постоянного тока. В помещениях без повышенной опасности напряжение 220 В может применяться для стационарно установленных осветительных приборов вне зависимости от высоты установки.
При высоте подвески менее 2,5 м должны применяться светильники специальной конструкции классов защиты 2 или 3 либо с напряжением не выше 50 В.
Питание светильников напряжением до 50 В должно осуществляться от понижающих трансформаторов, машинных преобразователей, аккумуляторных батарей. Применять для указанных целей автотрансформаторы, дроссели и реостаты запрещается. Корпуса понижающих трансформаторов и их вторичные обмотки должны быть заземлены.
Применять стационарные светильники в качестве переносных запрещается. Следует пользоваться переносными светильниками только промышленного изготовления."
PSR_81.,"Металлические строительные леса, металлические ограждения места работ, полки и лотки для прокладки кабелей и проводов, рельсовые пути подъемных сооружений и транспортных средств с электрическим приводом, корпуса оборудования, машин и механизмов с электроприводом должны быть заземлены (занулены) сразу после их установки на место, до начала каких-либо работ."
PSR_82.,"Разводка временных электросетей напряжением до 1000 В, используемых при электроснабжении объектов строительства, должна быть выполнена изолированными проводами или кабелями на опорах или конструкциях, рассчитанных на механическую прочность при прокладке по ним проводов и кабелей, на высоте над уровнем земли, настила не менее:"
PSR_3.,"5 м - над проходами;
6,0 м - над проездами;"
PSR_2.,5 м - над рабочими местами.
PSR_83.,"Выключатели, рубильники и другие коммутационные электрические аппараты, применяемые на открытом воздухе или во влажных цехах, должны быть в защищенном исполнении."
PSR_84.,"Электропусковые устройства должны быть размещены так, чтобы исключалась возможность пуска машин, механизмов и оборудования посторонними лицами. Запрещается включение нескольких токоприемников одним пусковым устройством.
Распределительные щиты и рубильники должны быть оборудованы запирающими устройствами."
PSR_85.,"Штепсельные розетки на номинальные токи до 20 А, расположенные вне помещений, а также аналогичные штепсельные розетки, расположенные внутри помещений, но предназначенные для питания переносного электрооборудования и ручного инструмента, применяемого вне помещений, должны быть защищены устройствами защитного отключения с током срабатывания не более 30 мА, либо каждая розетка должна быть запитана от индивидуального разделительного трансформатора с напряжением вторичной обмотки не более 50 В."
PSR_86.,"Использование конструкции перекрытий, колонн зданий и оборудования для закрепления на них подъемных сооружений при проведении ремонтных и монтажных работ без письменного разрешения работодателя или иного уполномоченного им должностного лица запрещается."
PSR_87.,"Уборка стружки, обрезков, пыли и грязи с оборудования или механизмов должна производиться работниками, работающими на данном оборудовании (механизмах), только при полном отключении оборудования и механизмов с помощью уборочных средств, исключающих травмирование работников.
Уборка и чистка частей оборудования и механизмов, а также арматуры и приборов, находящихся под напряжением, запрещается."
PSR_88.,"В производственных помещениях при периодическом или постоянном стоке жидкостей по поверхности пола (воды, кислот, щелочей, органических растворителей, минеральных масел, эмульсий, нейтральных, щелочных или кислотных растворов и другой жидкости) полы должны быть непроницаемы для этих жидкостей и иметь уклоны для стока жидкостей к лоткам, трапам или каналам.
Трапы и каналы для стока жидкостей на уровне поверхности пола должны быть закрыты крышками или решетками. Сточные лотки должны быть расположены в стороне от проходов и проездов и не должны пересекать их.
Устройства для стока поверхностных вод (лотки, кюветы, каналы, трапы и их решетки) необходимо своевременно очищать и ремонтировать."
PSR_89.,"Для предупреждения воздействия на работников вредных производственных факторов (неблагоприятного микроклимата, шума, вибрации, пыли и вредных веществ в воздухе рабочей зоны) необходимо:
1) определить участки работ, на которых могут возникнуть вредные производственные факторы, обусловленные технологией и условиями выполнения работ;
2) определить средства защиты работников;
3) предусматривать при необходимости специальные меры по хранению опасных и вредных веществ."
PSR_90.,"При проведении строительного производства с применением строительных машин, механизмов или иного технологического оборудования необходимо предусматривать:
1) выбор типов машин, мест их установки и режимов работы в соответствии с параметрами, предусмотренными технологией работ и условиями производства работ;
2) мероприятия, ограничивающие зону действия машин для предупреждения возникновения опасной зоны в местах нахождения людей, а также применение ограждений зоны работы машин;
3) особые условия установки машин в зоне призмы обрушения грунта, на насыпном грунте или косогоре."
PSR_91.,"Ввод в эксплуатацию стационарного технологического оборудования, установленного на строительных площадках (бетонных или растворных заводов, строительных подъемников, компрессорных станций и тому подобное), производится совместным решением работников, ответственных за обеспечение охраны труда при проведении строительных работ на данной площадке и безопасную эксплуатацию данного вида оборудования."
PSR_92.,"Включение (запуск) и эксплуатация транспортных средств, строительных машин, технологического оборудования и других средств механизации должны производиться работником, за которым они закреплены, имеющим право управления этим средством.
Оставлять без надзора транспортные средства, строительные машины, технологическое оборудование и другие средства механизации с работающим (включенным) двигателем запрещается."
PSR_93.,"Перед началом выполнения работ в ограниченных и замкнутых пространствах, в которых возможно появление опасного газа, в том числе в емкостях, колодцах, траншеях и шурфах, необходимо провести анализ воздушной среды.
При появлении опасных газов производство работ в данном месте следует приостановить и продолжить их только после обеспечения рабочих мест вентиляцией (проветриванием) и (или) работников необходимыми средствами индивидуальной защиты."
PSR_94.,"Запрещается использование полимерных материалов и изделий с взрывоопасными и токсичными свойствами, а также строительное сырье и материалы, в том числе полимерные и синтетические материалы, производственные отходы для повторной переработки и использования, лом черных и цветных металлов (металлолом) без ознакомления с инструкциями по их применению."
PSR_95.,"При хранении материалов, содержащих вредные или взрывоопасные растворители, должны быть исключены риски возникновения возгорания и выделения вредных веществ."
PSR_96.,"Перед проведением технического обслуживания и ремонта технологического оборудования и механизмов они должны быть приведены в состояние, при котором исключена возможность самопроизвольного включения и приведения их в действие. На пусковых устройствах, обеспечивающих включение (отключение) электропитания, должны быть вывешены плакаты, указывающие, что оборудование находится в ремонте и пуск его запрещен. Приводные ремни должны быть сняты с рабочих шкивов, под пусковые педали поставлены соответствующие подкладки.
При проведении технического обслуживания и ремонта сборочные единицы оборудования или транспортного средства, имеющие возможность перемещаться под воздействием собственной массы, должны быть заблокированы механическим способом или опущены на опору с исключением возможности их самопроизвольного перемещения.
Ремонт оборудования и механизмов во время их работы запрещается."
PSR_97.,"Снимаемые при ремонте части оборудования должны устойчиво размещаться на специально отведенных местах. Круглые детали следует укладывать с применением упоров.
Съем узлов и деталей станка необходимо производить с применением специальных приспособлений и устройств."
PSR_98.,"Работы на высоте, в том числе с применением средств механизации, оснастки, приспособлений и средств подмащивания (электротали, домкраты, грузовые лебедки, люльки, подмости, передвижные леса, лестницы, стремянки), переносных ручных машин и инструмента (электродрели, электропилы, рубильные и клепальные пневматические молотки, кувалды, ножовки и другие), должны производиться в соответствии с правилами по охране труда при работе на высоте, утверждаемыми Минтрудом России в соответствии с подпунктом 5.2.28 Положения о Министерстве труда и социальной защиты Российской Федерации, утвержденного постановлением Правительства Российской Федерации от 19 июня 2012 г. N 610 (Собрание законодательства Российской Федерации, 2012, N 26, ст. 3528).
Работники, эксплуатирующие средства механизации, оснастку, приспособления, средства подмащивания, переносные ручные машины и инструмент до начала работ должны быть обучены безопасным методам и приемам работ с их применением в соответствии с требованиями охраны труда, инструкций изготовителей и инструкций по охране труда, разработанных работодателем."
PSR_99.,"Лебедки, применяемые для перемещения подъемных подмостей и устанавливаемые на земле, должны быть загружены балластом, вес которого должен не менее чем в два раза превышать тяговое усилие лебедки.
Балласт должен быть закреплен на раме лебедки. Количество витков каната на барабане лебедки при нижнем положении груза должно быть не менее двух."
PSR_100.,"Поверхность грунта, на которую устанавливаются средства подмащивания, должна быть спланирована (выровнена и утрамбована) с обеспечением отвода с нее поверхностных вод. В тех случаях, когда невозможно выполнить эти требования, средства подмащивания оборудуются регулируемыми опорами для обеспечения горизонтальности установки или временными опорными сооружениями, обеспечивающими горизонтальность установки средств подмащивания."
PSR_101.,"Средства подмащивания, расположенные в непосредственной близости от проездов транспортных средств, должны быть ограждены отбойными брусами."
PSR_102.,"Подвесные лестницы и площадки, применяемые для работы на конструкциях, должны устанавливаться и закрепляться на монтируемые конструкции до подъема последних."
PSR_103.,"Места установки приставных лестниц на участках движения транспортных средств или людей надлежит на время производства работ ограждать или охранять.
Строительные леса и другие средства подмащивания с площадками, огражденными перилами, следует применять при проведении работ:
1) около и над вращающимися работающими машинами, транспортерами;
2) с использованием ручных машин и порохового инструмента;
3) газосварочных и электросварочных работ;
4) по натяжению проводов и поддержанию на высоте тяжелых деталей."
PSR_104.,"Работодатель обязан в рамках СУОТ с учетом пункта 5 Правил разработать мероприятия обеспечивающие безопасность работников, связанных с опасностями и их источниками, представляющих угрозу жизни и здоровью работников при разборке (разрушении) зданий и сооружений (далее - строения) в процессе их реконструкции или сноса."
PSR_105.,"Разборку (разрушение) строений необходимо осуществлять на основе решений, предусмотренных в организационно-технологической документации на производство работ. Указанные решения должны быть приняты после проведения обследования общего состояния строения, а также фундаментов, стен, колонн, сводов и прочих конструкций. По результатам обследования составляется акт, на основании которого принимается решение о:
1) выборе метода проведения разборки (разрушения);
2) установлении последовательности выполнения работ, исключающих самопроизвольное обрушение конструкций;
3) установлении опасных зон при принятом методе разборки (разрушении) и применении при необходимости защитных ограждений;
4) временном или постоянном закреплении или усилении конструкций разбираемого строения с целью предотвращения случайного обрушения конструкций;
5) мероприятиях по пылеподавлению в процессе разрушения конструкций и их погрузке;
6) мерах безопасности при работе на высоте;
7) схемах строповки при демонтаже конструкций и оборудования."
PSR_106.,"Перед началом работ необходимо ознакомить работников с решениями, предусмотренными в организационно-технологической документации на строительное производство, и провести инструктаж о безопасных методах работ.
Удаление неустойчивых конструкций при разборке строения следует производить в присутствии руководителя (производителя) работ."
PSR_107.,"Работы по разборке (разрушению) строений выполняются после мероприятий, связанных с отселением проживающих в них граждан (выездом расположенных организаций), отключением от сетей водоснабжения, теплоснабжения, газоснабжения и электроснабжения, канализации, технологических продуктопроводов и принятием мер против их повреждения."
PSR_108.,"При разборке (разрушении) строений доступ к ним посторонних лиц, не участвующих в производстве работ, запрещается. Участки работ по разборке (разрушению) строений должны быть ограждены.
Проход работников в помещения во время разборки должен быть закрыт."
